,nome,cpf,idade,data,endereco,estado,pais
0,Dr. Eduardo da Cruz,276.948.035-92,28,02/09/96,"Lagoa Isabel Nogueira, 43
Vila Trinta E Um De Março
51986-080 Almeida / PR",Rondônia,Brasil
1,Sr. Gustavo Henrique Nunes,461.203.759-61,27,12/08/97,"Fazenda de Rodrigues, 450
São João Batista
67116-392 Silva de Vasconcelos / RO",Sergipe,Brasil
2,Davi Moraes,972.564.138-82,40,03/11/84,"Setor Rafaela Siqueira, 59
Cidade Jardim
36981-857 da Luz / AC",Rio Grande do Norte,Brasil
3,Leandro da Conceição,418.309.657-00,51,20/03/73,"Trevo Milena Rezende, 51
São Sebastião
52884088 Correia / PA",Alagoas,Brasil
4,Vitória Cassiano,692.541.378-55,40,12/06/84,"Campo Bruna Aparecida, 78
Bonsucesso
58526758 Castro / RJ",Pará,Brasil
5,Caleb Cirino,148.673.529-00,28,20/06/96,"Viela de Viana, 2
Vila Barragem Santa Lúcia
48894-590 Rocha / AC",Amazonas,Brasil
6,Enrico Cirino,025.849.361-51,34,18/04/90,"Campo de Aragão
Vila São Francisco
88898025 da Rosa Paulista / MA",Pernambuco,Brasil
7,Evelyn Ramos,506.782.139-68,50,31/01/75,"Rua Lara Rodrigues, 7
Jardim Vitoria
85707-056 Cavalcanti da Mata / AM",Sergipe,Brasil
8,Henry Gonçalves,107.469.823-13,41,25/01/84,"Trecho Vitor Hugo Cassiano, 565
Jonas Veiga
08320-009 da Cunha / PA",Alagoas,Brasil
9,Theo Pinto,412.583.069-05,23,23/02/01,"Colônia de Fonseca, 6
São José
30667-067 Rezende de Albuquerque / ES",Distrito Federal,Brasil
